trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
192,False,"{'a': 0.5, 'e': 0.3130200732110411}",25,0,40.379904003076874,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.3111419527717748}",25,8,23.458518411215586,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.30927510105514416}",20,7,19.693318210317347,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.3074194504488133}",30,3,36.074453170017534,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.30557493374612044}",20,8,20.83494528179813,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.3037414841436437}",25,0,16.514799994578635,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
198,False,"{'a': 0.5, 'e': 0.30191903523878183}",25,11,23.102449558193335,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.30010752102734917}",20,0,29.11061759132763,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
200,False,"{'a': 0.5, 'e': 0.29830687590118504}",20,7,23.718435849144967,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.29651703464577794}",20,14,11.108522315110761,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.29473793243790325}",25,13,21.85703687014918,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.29296950484327583}",25,1,36.89007443526866,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.2912116878142162}",25,12,17.97539996040896,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.2894644176873309}",25,12,22.351496362809787,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.2877276311812069}",30,0,46.80087584043127,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
207,False,"{'a': 0.5, 'e': 0.2860012653941197}",20,15,7.702501889620805,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.28428525780175495}",25,16,16.55378932974324,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.2825795462549444}",20,0,29.062403384114198,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
210,False,"{'a': 0.5, 'e': 0.28088406897741475}",20,10,14.571534498350982,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.27919876456355025}",30,0,47.03196256700952,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
212,False,"{'a': 0.5, 'e': 0.27752357197616895}",35,18,28.056133077167285,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.2758584305443119}",25,0,37.31817160774821,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
214,False,"{'a': 0.5, 'e': 0.27420327996104604}",30,8,30.66633814355639,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.27255806028127977}",20,0,27.227122028025857,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
216,False,"{'a': 0.5, 'e': 0.2709227119195921}",20,12,13.505074673740248,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.26929717564807454}",30,3,46.8285113992844,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.2676813925941861}",25,2,31.089770743856704,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
