trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.767363103408301}",35,14,33.38289267551986,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.7627589247878512}",25,3,-23.819266829682785,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.7581823712391241}",25,10,22.654639731916827,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.7536332770116894}",35,17,30.164928063533775,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.7491114773496192}",20,6,17.15805032963369,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.7446168084855216}",20,0,24.08234699471677,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7401491076346084}",20,0,20.246063650079094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.7357082129888007}",20,10,14.339034577625586,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.731293963710868}",20,0,15.11781381951189,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7269061999286027}",25,0,-5.584102128536854,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7225447627290311}",25,0,30.214572627113398,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7182094941526569}",30,14,1.8692718859031117,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.713900237187741}",20,0,26.000923968044944,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.7096168357646145}",20,9,17.707513366384728,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.7053591347500269}",20,0,-15.40496572539034,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7011269799415266}",20,14,12.216159729192002,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.6969202180618775}",35,3,41.870590965034154,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.6927386967535062}",25,8,23.7532478003852,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6885822645729852}",25,13,23.775466313388222,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.6844507709855473}",30,0,40.55969177131832,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.680344066359634}",30,0,40.18604578563119,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.6762620019614762}",30,7,32.53573416535238,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.6722044299497073}",20,0,27.10498984137211,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.6681712033700091}",25,0,35.44226342275621,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.664162176149789}",20,11,14.705808436176913,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.6601772030928903}",30,0,33.83611641824163,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.6562161398743329}",20,0,29.361951684751805,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.652278843035087}",20,0,-16.6840793002395,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.6483651699768764}",25,5,31.067260975220734,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.6444749789570151}",30,12,30.461111144230216,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.640608129083273}",25,12,22.397295572269808,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6367644803087734}",20,8,16.15306623345753,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.6329438934269208}",25,11,26.04988436890785,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.6291462300663593}",20,0,29.789317338369408,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.6253713526859611}",25,0,23.827525597255747,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.6216191245698454}",20,0,27.522049460198197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6178894098224262}",25,1,31.45480996626399,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.6141820733634917}",25,13,17.37870202853734,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.6104969809233107}",20,0,24.837185720099928,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.6068339990377709}",20,12,11.838224999703757,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.6031929950435442}",25,11,23.46467856474097,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.5995738370732829}",20,9,21.65775157086186,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.5959763940508432}",25,0,34.12227782643063,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5924005356865382}",20,0,27.466104586602302,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.588846132472419}",20,0,24.631505846514987,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.5853130556775844}",25,1,37.272129344021366,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.5818011773435189}",30,15,13.470469388620987,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5783103702794579}",25,0,30.368653404866293,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.5748405080577811}",25,0,-7.146711487337421,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.5713914650094344}",20,0,23.3868165270974,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.5679631162193778}",30,0,46.775120629734346,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5645553375220616}",30,7,31.00612991878108,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5611680054969291}",20,1,28.300080855485582,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.5578009974639475}",25,0,31.73284605246243,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.5544541914791639}",20,0,24.347555390816552,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.5511274663302889}",25,0,32.00538243272671,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.5478207015323071}",25,10,23.985074800555246,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.5445337773231133}",20,12,15.125428822300556,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.5412665746591746}",30,0,34.07377495806645,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.5380189752112196}",25,0,35.83803707883354,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.5347908613599522}",30,0,43.72245866583756,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.5315821161917925}",20,6,26.605850978787068,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.5283926234946418}",30,18,20.151150665735024,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.5252222677536739}",25,8,28.04076534853731,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.5220709341471519}",20,0,24.901412419196777,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.518938508542269}",20,13,9.731173422060722,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.5158248774910154}",20,0,22.962549397325912,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.5127299282260692}",20,0,29.555593489017294,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.5096535486567129}",20,0,25.414972199275265,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.5065956273647726}",25,0,-5.3779388727417565,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.5035560536005839}",25,4,33.015610981581474,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.5005347172789804}",20,8,17.02922526302277,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4975315089753065}",20,0,6.814847348053256,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.4945463199214547}",35,0,46.04834456421266,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.4915790420019259}",20,0,26.626061605341285,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.4886295677499144}",35,0,37.42323717428227,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.48569779034341487}",35,0,47.72928082149246,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.4827836036013544}",35,0,51.48538138522179,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.47988690197974626}",25,0,35.313594002801274,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.4770075805678678}",25,15,16.737318307460146,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.4741455350844606}",30,0,40.17211479206783,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.4713006618739538}",20,0,26.79337613028037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
